Padró municipal d'habitants. Xifres oficials. Per sexe
Municipis. 2016
Font: Idescat. Padró municipal d'habitants.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=446&by=mun
Codi;Literal;Homes;Dones;Total
431153;Pradell de la Teixeta;76;98;174;
431166;Prades;307;280;587;
431172;Prat de Comte;94;83;177;
081691;Prat de Llobregat, el;31163;32294;63457;
431188;Pratdip;366;325;691;
081712;Prats de Lluçanès;1286;1279;2565;
081705;Prats de Rei, els;284;251;535;
251752;Prats i Sansor;123;115;238;
251765;Preixana;197;185;382;
251771;Preixens;229;219;448;
082303;Premià de Dalt;5260;5186;10446;
081727;Premià de Mar;13617;14249;27866;
171390;Preses, les;889;892;1781;
251790;Prullans;103;105;208;
171411;Puigcerdà;4407;4403;8810;
081748;Puigdàlber;253;259;512;
251804;Puiggròs;145;142;287;
431191;Puigpelat;572;549;1121;
081751;Puig-reig;2001;2122;4123;
251811;Puigverd d'Agramunt;133;104;237;
251826;Puigverd de Lleida;707;666;1373;
081764;Pujalt;107;91;198;
081770;Quar, la;28;26;54;
171426;Quart;1744;1734;3478;
170433;Queralbs;99;75;174;
431205;Querol;306;237;543;
171432;Rabós;92;96;188;
081786;Rajadell;269;264;533;
431212;Rasquera;399;420;819;
171447;Regencós;143;136;279;
081799;Rellinars;374;349;723;
431227;Renau;77;71;148;
431233;Reus;50188;53427;103615;
251832;Rialp;347;322;669;
431248;Riba, la;324;270;594;
431251;Riba-roja d'Ebre;611;545;1156;
259059;Ribera d'Ondara;227;219;446;
251850;Ribera d'Urgellet;504;458;962;
171450;Ribes de Freser;882;903;1785;
171463;Riells i Viabrea;2023;1904;3927;
431264;Riera de Gaià, la;846;848;1694;
251863;Riner;128;133;261;
171479;Ripoll;5194;5389;10583;
081803;Ripollet;18646;19002;37648;
259139;Riu de Cerdanya;55;42;97;
171485;Riudarenes;1090;1030;2120;
171498;Riudaura;222;244;466;
431270;Riudecanyes;587;529;1116;
431286;Riudecols;614;555;1169;
171501;Riudellots de la Selva;1023;1001;2024;
431299;Riudoms;3397;3194;6591;
171518;Riumors;128;127;255;
081810;Roca del Vallès, la;5307;5292;10599;
431303;Rocafort de Queralt;133;118;251;
431310;Roda de Berà;3309;3082;6391;
081831;Roda de Ter;3001;3115;6116;
431325;Rodonyà;254;238;492;
431331;Roquetes;4241;3924;8165;
171523;Roses;9722;9716;19438;
251898;Rosselló;1516;1513;3029;
431346;Rourell, el;203;195;398;
081846;Rubí;37221;37946;75167;
081859;Rubió;126;105;231;
171539;Rupià;129;124;253;
089019;Rupit i Pruit;142;135;277;
081878;Sabadell;101341;106905;208246;
081884;Sagàs;83;69;152;
251902;Salàs de Pallars;183;157;340;
081901;Saldes;159;117;276;
171544;Sales de Llierca;71;66;137;
081918;Sallent;3170;3422;6592;
431359;Salomó;277;263;540;
439057;Salou;13738;12648;26386;
171557;Salt;15438;13966;29404;
251919;Sanaüja;216;209;425;
081944;Sant Adrià de Besòs;18029;18467;36496;
081957;Sant Agustí de Lluçanès;46;46;92;
081960;Sant Andreu de la Barca;13694;13740;27434;
081976;Sant Andreu de Llavaneres;5274;5389;10663;
171576;Sant Andreu Salou;82;73;155;
171833;Sant Aniol de Finestres;197;174;371;
081982;Sant Antoni de Vilamajor;2932;2930;5862;
081995;Sant Bartomeu del Grau;444;406;850;
082009;Sant Boi de Llobregat;40369;42033;82402;
082016;Sant Boi de Lluçanès;263;264;527;
431362;Sant Carles de la Ràpita;7220;7498;14718;
082037;Sant Cebrià de Vallalta;1732;1597;3329;
082021;Sant Celoni;8719;8821;17540;
082042;Sant Climent de Llobregat;2022;2002;4024;
171582;Sant Climent Sescebes;375;266;641;
082055;Sant Cugat del Vallès;43254;45667;88921;
082068;Sant Cugat Sesgarrigues;475;498;973;
251961;Sant Esteve de la Sarga;87;52;139;
082074;Sant Esteve de Palautordera;1277;1322;2599;
082080;Sant Esteve Sesrovires;3820;3824;7644;
171595;Sant Feliu de Buixalleu;417;382;799;
082107;Sant Feliu de Codines;3008;2960;5968;
171609;Sant Feliu de Guíxols;10763;10997;21760;
082114;Sant Feliu de Llobregat;21405;22681;44086;
171616;Sant Feliu de Pallerols;645;672;1317;
082129;Sant Feliu Sasserra;323;289;612;
171621;Sant Ferriol;131;100;231;
082093;Sant Fost de Campsentelles;4316;4334;8650;
082135;Sant Fruitós de Bages;4161;4226;8387;
171637;Sant Gregori;1787;1766;3553;
251924;Sant Guim de Freixenet;553;506;1059;
251977;Sant Guim de la Plana;94;76;170;
171642;Sant Hilari Sacalm;2811;2759;5570;
082153;Sant Hipòlit de Voltregà;1701;1761;3462;
081939;Sant Iscle de Vallalta;669;623;1292;
439023;Sant Jaume d'Enveja;1761;1755;3516;
082166;Sant Jaume de Frontanyà;18;9;27;
171655;Sant Jaume de Llierca;424;449;873;
431378;Sant Jaume dels Domenys;1312;1231;2543;
171674;Sant Joan de les Abadesses;1660;1682;3342;
171680;Sant Joan de Mollet;237;258;495;
082188;Sant Joan de Vilatorrada;5390;5369;10759;
082172;Sant Joan Despí;16356;17146;33502;
171851;Sant Joan les Fonts;1454;1452;2906;
171668;Sant Jordi Desvalls;347;353;700;
089030;Sant Julià de Cerdanyola;139;112;251;
171693;Sant Julià de Ramis;1747;1708;3455;
082205;Sant Julià de Vilatorta;1523;1590;3113;
179032;Sant Julià del Llor i Bonmatí;663;619;1282;
082212;Sant Just Desvern;8123;8804;16927;
082227;Sant Llorenç d'Hortons;1302;1260;2562;
171714;Sant Llorenç de la Muga;126;121;247;
251930;Sant Llorenç de Morunys;474;492;966;
